symbol,date,open,high,low,close,volume
NIFTY_MIDCAP_100.NS,2025-04-07,46966.6015625,49073.44921875,46966.6015625,48809.44921875,0
NIFTY_MIDCAP_100.NS,2025-04-08,49888.1484375,50237.5,49194.0,49838.0,0
NIFTY_MIDCAP_100.NS,2025-04-09,49719.3984375,49744.69921875,48905.75,49582.05078125,0
NIFTY_MIDCAP_100.NS,2025-04-11,50516.0,50641.8984375,50088.6015625,50501.5,0
NIFTY_MIDCAP_100.NS,2025-04-15,51391.8984375,52054.80078125,51100.80078125,51974.44921875,0
NIFTY_MIDCAP_100.NS,2025-04-16,52090.05078125,52371.75,51946.6484375,52345.55078125,0
NIFTY_MIDCAP_100.NS,2025-04-17,52286.3515625,52736.3515625,52061.80078125,52657.80078125,0
NIFTY_MIDCAP_100.NS,2025-04-21,52935.05078125,54025.0,52840.0,53974.44921875,0
NIFTY_MIDCAP_100.NS,2025-04-22,54177.6484375,54635.05078125,53843.8515625,54397.1484375,0
NIFTY_MIDCAP_100.NS,2025-04-23,54777.30078125,55076.25,54069.3984375,55041.1015625,0
NIFTY_MIDCAP_100.NS,2025-04-24,55094.05078125,55223.3515625,54912.8984375,54969.8515625,0
NIFTY_MIDCAP_100.NS,2025-04-25,55080.80078125,55213.8984375,53116.1484375,53570.19921875,0
NIFTY_MIDCAP_100.NS,2025-04-28,53485.30078125,54475.75,53481.19921875,54440.25,0
NIFTY_MIDCAP_100.NS,2025-04-29,54613.69921875,55022.6015625,54461.0,54587.94921875,0
NIFTY_MIDCAP_100.NS,2025-04-30,54642.6015625,54801.3984375,53887.6015625,54124.8984375,0
NIFTY_MIDCAP_100.NS,2025-05-02,54004.94921875,54593.3515625,53563.8984375,53705.1015625,0
NIFTY_MIDCAP_100.NS,2025-05-05,53957.6015625,54717.94921875,53951.94921875,54675.75,0
NIFTY_MIDCAP_100.NS,2025-05-06,54806.3515625,54895.05078125,53343.05078125,53435.8515625,0
NIFTY_MIDCAP_100.NS,2025-05-07,52755.3984375,54329.25,52747.19921875,54287.75,0
NIFTY_MIDCAP_100.NS,2025-05-08,54486.6015625,54646.6484375,52937.0,53229.30078125,0
NIFTY_MIDCAP_100.NS,2025-05-09,52097.30078125,53336.94921875,52093.8984375,53223.3515625,0
NIFTY_MIDCAP_100.NS,2025-05-12,54750.6015625,55442.1015625,54587.6484375,55416.05078125,0
NIFTY_MIDCAP_100.NS,2025-05-13,55495.8984375,55796.5,55265.19921875,55520.69921875,0
NIFTY_MIDCAP_100.NS,2025-05-14,55718.19921875,56197.1484375,55524.0,56136.3984375,0
NIFTY_MIDCAP_100.NS,2025-05-15,56327.6015625,56578.80078125,56053.6484375,56530.8515625,0
NIFTY_MIDCAP_100.NS,2025-05-16,56760.25,57170.1484375,56549.19921875,57060.5,0
NIFTY_MIDCAP_100.NS,2025-05-19,57245.3984375,57451.8984375,56816.75,57105.44921875,0
NIFTY_MIDCAP_100.NS,2025-05-20,57416.19921875,57445.1484375,56095.05078125,56182.6484375,0
NIFTY_MIDCAP_100.NS,2025-05-21,56249.6015625,56727.5,56001.8515625,56619.6015625,0
NIFTY_MIDCAP_100.NS,2025-05-22,56506.6484375,56546.80078125,55972.69921875,56324.8515625,0
NIFTY_MIDCAP_100.NS,2025-05-23,56449.6484375,56782.30078125,56235.3984375,56687.75,0
NIFTY_MIDCAP_100.NS,2025-05-26,56872.94921875,57214.1484375,56854.0,57067.25,0
NIFTY_MIDCAP_100.NS,2025-05-27,57127.1484375,57236.75,56799.1484375,57154.5,0
NIFTY_MIDCAP_100.NS,2025-05-28,57254.44921875,57476.75,57078.0,57141.3984375,0
NIFTY_MIDCAP_100.NS,2025-05-29,57410.5,57547.80078125,57068.0,57457.25,0
NIFTY_MIDCAP_100.NS,2025-05-30,57630.3515625,57779.05078125,57249.80078125,57420.0,0
NIFTY_MIDCAP_100.NS,2025-06-02,57390.05078125,57840.3984375,57197.0,57775.55078125,0
NIFTY_MIDCAP_100.NS,2025-06-03,58025.75,58027.0,57461.55078125,57517.1015625,0
NIFTY_MIDCAP_100.NS,2025-06-04,57655.6484375,57971.05078125,57278.25,57924.6484375,0
NIFTY_MIDCAP_100.NS,2025-06-05,58137.6015625,58376.3515625,58014.5,58303.0,0
NIFTY_MIDCAP_100.NS,2025-06-06,58494.19921875,59072.44921875,58281.80078125,59010.30078125,0
NIFTY_MIDCAP_100.NS,2025-06-09,59388.6015625,59709.75,59322.3515625,59674.94921875,0
NIFTY_MIDCAP_100.NS,2025-06-10,59935.0,59967.8984375,59576.3515625,59681.3984375,0
