effective_date,index_type,inclusions,exclusions,symbols
2010-04-08,Nifty100,"PUNJLLOYD,TORNTPOWER","GRASIM,MOSERBAER","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COLPAL,CONCOR,CUMMINSIND,DHANBANK,DLF,DRREDDY,FEDERALBNK,GAIL,GLAXO,GLENMARK,GMRAIRPORT,GUJGASLTD,HCLTECH,HDFCBANK,HDIL,HEROMOTOCO,HINDPETRO,IBREALEST,ICICI,IDBI,IDEA,IDFC,IDFCFIRSTB,IFCI,INDHOTEL,IOB,JINDALSTEL,JPASSOCIAT,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARUTI,MRPL,NIFTY,NTPC,OFSS,ONGC,PATNI,PFC,PNB,POWERGRID,PUNJLLOYD,RANBAXY,RCOM,RELCAPITAL,RELINFRA,RNRL,RPOWER,SAIL,SALSTEEL,SESA,SIS,SUZLON,TATAPOWER,TCS,TECH,TECHM,TORNTPOWER,TTML,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZEEL"
2010-10-01,Nifty100,"SHRIRAMFIN,GRASIM,YESBANK,RECLTD","TECH,TTML,IDEA,ABB","722HPCL29,AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COLPAL,CONCOR,CUMMINSIND,DHANBANK,DLF,DRREDDY,FEDERALBNK,GAIL,GLAXO,GLENMARK,GMRAIRPORT,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HDIL,HEROMOTOCO,HINDPETRO,IBREALEST,ICICI,IDBI,IDFC,IDFCFIRSTB,IFCI,INDHOTEL,IOB,JINDALSTEL,JPASSOCIAT,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARUTI,MRPL,NIFTY,NTPC,OFSS,ONGC,PATNI,PFC,PNB,POWERGRID,PUNJLLOYD,RANBAXY,RCOM,RECLTD,RELCAPITAL,RELINFRA,RNRL,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SIS,SUZLON,TATAPOWER,TCS,TECHM,TORNTPOWER,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,YESBANK,ZEEL"
2010-10-07,Nifty100,"TATACHEM,WSI","ZEEL,RNRL","722HPCL29,AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COLPAL,CONCOR,CUMMINSIND,DHANBANK,DLF,DRREDDY,FEDERALBNK,GAIL,GLAXO,GLENMARK,GMRAIRPORT,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HDIL,HEROMOTOCO,HINDPETRO,IBREALEST,ICICI,IDBI,IDFC,IDFCFIRSTB,IFCI,INDHOTEL,IOB,JINDALSTEL,JPASSOCIAT,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARUTI,MRPL,NIFTY,NTPC,OFSS,ONGC,PATNI,PFC,PNB,POWERGRID,PUNJLLOYD,RANBAXY,RCOM,RECLTD,RELCAPITAL,RELINFRA,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SIS,SUZLON,TATACHEM,TATAPOWER,TCS,TECHM,TORNTPOWER,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK"
2011-03-25,Nifty100,"ZEEL,WSI,INDUSINDBK","MRPL,DHANBANK,SUZLON","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COLPAL,CONCOR,CUMMINSIND,DLF,DRREDDY,FEDERALBNK,GAIL,GLAXO,GLENMARK,GMRAIRPORT,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HDIL,HEROMOTOCO,HINDPETRO,IBREALEST,ICICI,IDBI,IDFC,IDFCFIRSTB,IFCI,INDHOTEL,INDUSINDBK,IOB,JINDALSTEL,JPASSOCIAT,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARUTI,NIFTY,NTPC,OFSS,ONGC,PATNI,PFC,PNB,POWERGRID,PUNJLLOYD,RANBAXY,RCOM,RECLTD,RELCAPITAL,RELINFRA,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SIS,TATACHEM,TATAPOWER,TCS,TECHM,TORNTPOWER,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
2011-04-21,Nifty100,COALINDIA,IBREALEST,"722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DLF,DRREDDY,FEDERALBNK,GAIL,GLAXO,GLENMARK,GMRAIRPORT,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HDIL,HEROMOTOCO,HINDPETRO,ICICI,IDBI,IDFC,IDFCFIRSTB,IFCI,INDHOTEL,INDUSINDBK,IOB,JINDALSTEL,JPASSOCIAT,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARUTI,NIFTY,NTPC,OFSS,ONGC,PATNI,PFC,PNB,POWERGRID,PUNJLLOYD,RANBAXY,RCOM,RECLTD,RELCAPITAL,RELINFRA,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SIS,TATACHEM,TATAPOWER,TCS,TECHM,TORNTPOWER,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
2011-10-10,Nifty100,"IDEA,BOSCH-HCIL,DABUR","PUNJLLOYD,PATNI,J&KBANK","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DLF,DRREDDY,FEDERALBNK,GAIL,GLAXO,GLENMARK,GMRAIRPORT,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HDIL,HEROMOTOCO,HINDPETRO,ICICI,IDBI,IDEA,IDFC,IDFCFIRSTB,IFCI,INDHOTEL,INDUSINDBK,IOB,JINDALSTEL,JPASSOCIAT,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARUTI,NIFTY,NTPC,OFSS,ONGC,PFC,PNB,POWERGRID,RANBAXY,RCOM,RECLTD,RELCAPITAL,RELINFRA,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SIS,TATACHEM,TATAPOWER,TCS,TECHM,TORNTPOWER,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
2012-04-27,Nifty100,"DIVISLAB,GSKCONS,PETRONET","HDIL,IFCI,IOB","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,FEDERALBNK,GAIL,GLAXO,GLENMARK,GMRAIRPORT,GRASIM,GSKCONS,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,ICICI,IDBI,IDEA,IDFC,IDFCFIRSTB,INDHOTEL,INDUSINDBK,JINDALSTEL,JPASSOCIAT,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARUTI,NIFTY,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RANBAXY,RCOM,RECLTD,RELCAPITAL,RELINFRA,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SIS,TATACHEM,TATAPOWER,TCS,TECHM,TORNTPOWER,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
2012-09-28,Nifty100,"BAJAJHLDNG,GODREJCP,APOLLOHOSP","BEL,J&KBANK,STERLITE","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AXISBANK,BAJAJ-AUTO,BAJAJHLDNG,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,FEDERALBNK,GAIL,GLAXO,GLENMARK,GMRAIRPORT,GODREJCP,GRASIM,GSKCONS,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IDBI,IDEA,IDFCFIRSTB,INDHOTEL,INDUSINDBK,JINDALSTEL,JPASSOCIAT,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARUTI,NIFTY,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RANBAXY,RCOM,RECLTD,RELCAPITAL,RELINFRA,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SIS,TATACHEM,TATAPOWER,TCS,TECHM,TORNTPOWER,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
2013-04-01,Nifty100,"UBL,TATACONSUM,BAJAJFINSV,NMDC","TORNTPOWER,WIPRO,GMRAIRPORT,BI","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,FEDERALBNK,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IDBI,IDEA,IDFCFIRSTB,INDHOTEL,INDUSINDBK,JINDALSTEL,JPASSOCIAT,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARUTI,NIFTY,NMDC,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RANBAXY,RCOM,RECLTD,RELCAPITAL,RELINFRA,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SIS,TATACHEM,TATACONSUM,TATAPOWER,TCS,TECHM,UBL,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WSI,YESBANK,ZEEL"
2013-09-27,Nifty100,"M&M,HINDOILEXP,WIPRO","ASHOKLEY,INDHOTEL,RELINFRA","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASIANPAINT,ATUL,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,FEDERALBNK,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,IDBI,IDEA,IDFCFIRSTB,INDUSINDBK,JINDALSTEL,JPASSOCIAT,JSWSTEEL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,NIFTY,NMDC,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RANBAXY,RCOM,RECLTD,RELCAPITAL,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SIS,TATACHEM,TATACONSUM,TATAPOWER,TCS,TECHM,UBL,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
