effective_date,index_type,inclusions,exclusions,symbols
2015-02-02,Nifty100,EICHERMOT,J&KBANK,"722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,EICHERMOT,FEDERALBNK,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,IDEA,IDFCFIRSTB,INDUSINDBK,INDUSTOWER,JINDALSTEL,JSWSTEEL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOTHERSUMI,NIFTY,NMDC,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RCOM,RECLTD,RELCAPITAL,RELINFRA,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,TATACHEM,TATACONSUM,TATAPOWER,TCS,TECHM,UBL,ULTRACEMCO,UNIONBANK,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
2015-03-27,Nifty100,"IBULHSGFIN,UNITDSPR","DLF,JINDALSTEL","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIENT,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BSOFT,CAIRN,CANBK,CGPOWER,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DRREDDY,EICHERMOT,FEDERALBNK,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,IBULHSGFIN,IDEA,IDFCFIRSTB,INDUSINDBK,INDUSTOWER,JSWSTEEL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOTHERSUMI,NIFTY,NMDC,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RCOM,RECLTD,RELCAPITAL,RELINFRA,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,TATACHEM,TATACONSUM,TATAPOWER,TCS,TECHM,UBL,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
2015-05-29,Nifty100,"BRITANNIA,MRF","ADANIENT,IDFCFIRSTB","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BRITANNIA,BSOFT,CAIRN,CANBK,CGPOWER,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DRREDDY,EICHERMOT,FEDERALBNK,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,IBULHSGFIN,IDEA,INDUSINDBK,INDUSTOWER,JSWSTEEL,LICHSGFIN,LT,LUPIN,M&M,MARUTI,MOTHERSUMI,MRF,NIFTY,NMDC,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RCOM,RECLTD,RELCAPITAL,RELINFRA,RPOWER,SAIL,SALSTEEL,SESA,SHRIRAMFIN,TATACHEM,TATACONSUM,TATAPOWER,TCS,TECHM,UBL,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
2015-09-28,Nifty100,"MARICO,SUNDARMFIN,ASHOKLEY","RPOWER,UNIONBANK,CGPOWER","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BIRLACORPN,BRITANNIA,BSOFT,CAIRN,CANBK,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DRREDDY,EICHERMOT,FEDERALBNK,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,IBULHSGFIN,IDEA,INDUSINDBK,INDUSTOWER,JSWSTEEL,LICHSGFIN,LT,LUPIN,M&M,MARICO,MARUTI,MOTHERSUMI,MRF,NIFTY,NMDC,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RCOM,RECLTD,RELCAPITAL,RELINFRA,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SUNDARMFIN,TATACHEM,TATACONSUM,TATAPOWER,TCS,TECHM,UBL,ULTRACEMCO,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
2015-10-19,Nifty100,IOC,BIRLACORPN,"722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BRITANNIA,BSOFT,CAIRN,CANBK,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DRREDDY,EICHERMOT,FEDERALBNK,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,IBULHSGFIN,IDEA,INDUSINDBK,INDUSTOWER,IOC,JSWSTEEL,LICHSGFIN,LT,LUPIN,M&M,MARICO,MARUTI,MOTHERSUMI,MRF,NIFTY,NMDC,NTPC,OFSS,ONGC,PETRONET,PFC,PNB,POWERGRID,RCOM,RECLTD,RELCAPITAL,RELINFRA,SAIL,SALSTEEL,SESA,SHRIRAMFIN,SUNDARMFIN,TATACHEM,TATACONSUM,TATAPOWER,TCS,TECHM,UBL,ULTRACEMCO,UNITDSPR,UPL,VEDL,WIPRO,WSI,YESBANK,ZEEL"
2016-04-01,Nifty100,"BAJFINANCE,TORNTPHARM,TMCV,SHREECEM,PGHL,PIDILITIND,NH,HINDZINC,EMAMILTD,DLF,CASTROLIND,ZYDUSLIFE,ABB,BEL","TATACHEM,SUNDARMFIN,RELINFRA,RELCAPITAL,PETRONET,MRF,M&M,FEDERALBNK,WSI,CANBK,BANKINDIA,BAJAJHLDNG,TATACONSUM","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BRITANNIA,BSOFT,CAIRN,CASTROLIND,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,EICHERMOT,EMAMILTD,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,HINDZINC,IBULHSGFIN,IDEA,INDUSINDBK,INDUSTOWER,IOC,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARICO,MARUTI,MOTHERSUMI,NH,NIFTY,NMDC,NTPC,OFSS,ONGC,PFC,PGHL,PIDILITIND,PNB,POWERGRID,RCOM,RECLTD,SAIL,SALSTEEL,SESA,SHREECEM,SHRIRAMFIN,TATAPOWER,TCS,TECHM,TMCV,TORNTPHARM,UBL,ULTRACEMCO,UNITDSPR,UPL,VEDL,WIPRO,YESBANK,ZEEL,ZYDUSLIFE"
2016-09-30,Nifty100,"PEL,INDIGO","RECLTD,RCOM","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BRITANNIA,BSOFT,CAIRN,CASTROLIND,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,EICHERMOT,EMAMILTD,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,HINDZINC,IBULHSGFIN,IDEA,INDIGO,INDUSINDBK,INDUSTOWER,IOC,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARICO,MARUTI,MOTHERSUMI,NH,NIFTY,NMDC,NTPC,OFSS,ONGC,PEL,PFC,PGHL,PIDILITIND,PNB,POWERGRID,SAIL,SALSTEEL,SESA,SHREECEM,SHRIRAMFIN,TATAPOWER,TCS,TECHM,TMCV,TORNTPHARM,UBL,ULTRACEMCO,UNITDSPR,UPL,VEDL,WIPRO,YESBANK,ZEEL,ZYDUSLIFE"
2016-11-15,Nifty100,HAVELLS,CAIRN,"722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AMBUJACEM,APARINDS,APOLLOHOSP,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BRITANNIA,BSOFT,CASTROLIND,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,EICHERMOT,EMAMILTD,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HAVELLS,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,HINDZINC,IBULHSGFIN,IDEA,INDIGO,INDUSINDBK,INDUSTOWER,IOC,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARICO,MARUTI,MOTHERSUMI,NH,NIFTY,NMDC,NTPC,OFSS,ONGC,PEL,PFC,PGHL,PIDILITIND,PNB,POWERGRID,SAIL,SALSTEEL,SESA,SHREECEM,SHRIRAMFIN,TATAPOWER,TCS,TECHM,TMCV,TORNTPHARM,UBL,ULTRACEMCO,UNITDSPR,UPL,VEDL,WIPRO,YESBANK,ZEEL,ZYDUSLIFE"
2017-03-31,Nifty100,"ICICIPRULI,PETRONET,RECLTD","APOLLOHOSP,BHARATFORG,CASTROLIND","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AMBUJACEM,APARINDS,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BASF,BEL,BHARTI,BHARTIARTL,BHEL,BRITANNIA,BSOFT,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,EICHERMOT,EMAMILTD,GAIL,GLAXO,GLENMARK,GODREJCP,GRASIM,GUJGASLTD,HAVELLS,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,HINDZINC,IBULHSGFIN,ICICIPRULI,IDEA,INDIGO,INDUSINDBK,INDUSTOWER,IOC,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARICO,MARUTI,MOTHERSUMI,NH,NIFTY,NMDC,NTPC,OFSS,ONGC,PEL,PETRONET,PFC,PGHL,PIDILITIND,PNB,POWERGRID,RECLTD,SAIL,SALSTEEL,SESA,SHREECEM,SHRIRAMFIN,TATAPOWER,TCS,TECHM,TMCV,TORNTPHARM,UBL,ULTRACEMCO,UNITDSPR,UPL,VEDL,WIPRO,YESBANK,ZEEL,ZYDUSLIFE"
2017-05-26,Nifty100,SUNTV,GRASIM,"722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,ADANIPORTS,AMBUJACEM,APARINDS,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BASF,BEL,BHARTI,BHARTIARTL,BHEL,BRITANNIA,BSOFT,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DIVISLAB,DLF,DRREDDY,EICHERMOT,EMAMILTD,GAIL,GLAXO,GLENMARK,GODREJCP,GUJGASLTD,HAVELLS,HCLTECH,HDFCBANK,HEROMOTOCO,HINDOILEXP,HINDPETRO,HINDZINC,IBULHSGFIN,ICICIPRULI,IDEA,INDIGO,INDUSINDBK,INDUSTOWER,IOC,JSWSTEEL,LICHSGFIN,LT,LUPIN,MARICO,MARUTI,MOTHERSUMI,NH,NIFTY,NMDC,NTPC,OFSS,ONGC,PEL,PETRONET,PFC,PGHL,PIDILITIND,PNB,POWERGRID,RECLTD,SAIL,SALSTEEL,SESA,SHREECEM,SHRIRAMFIN,SUNTV,TATAPOWER,TCS,TECHM,TMCV,TORNTPHARM,UBL,ULTRACEMCO,UNITDSPR,UPL,VEDL,WIPRO,YESBANK,ZEEL,ZYDUSLIFE"
