effective_date,index_type,inclusions,exclusions,symbols
2010-04-08,Nifty50,KOTAKBANK,GRASIM,"AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,AXISBANK,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CAIRN,CIPLA,DLF,GAIL,HCLTECH,HEROMOTOCO,IDEA,IDFC,IDFCFIRSTB,INFY,JINDALSTEL,JPASSOCIAT,KOTAKBANK,LT,M& M,MARUTI,NTPC,ONGC,PNB,POWERGRID,RANBAXY,RCOM,RELCAPITAL,RELINFRA,RPOWER,SAIL,SIEMENS,SKBEECHAM,SUNPHARMA,SUZLON,TATAPOWER,TCS,TECH,VEDL,WIPRO"
2010-10-01,Nifty50,"BAJAJ-AUTO,DRREDDY,SESA","ABB,IDEA,TECH","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,AXISBANK,BAJAJ-AUTO,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CAIRN,CIPLA,DLF,DRREDDY,GAIL,HCLTECH,HEROMOTOCO,IDFC,IDFCFIRSTB,INFY,JINDALSTEL,JPASSOCIAT,KOTAKBANK,LT,M& M,MARUTI,NTPC,ONGC,PNB,POWERGRID,RANBAXY,RCOM,RELCAPITAL,RELINFRA,RPOWER,SAIL,SESA,SIEMENS,SKBEECHAM,SUNPHARMA,SUZLON,TATAPOWER,TCS,VEDL,WIPRO"
2011-03-25,Nifty50,GRASIM,SUZLON,"AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,AXISBANK,BAJAJ-AUTO,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CAIRN,CIPLA,DLF,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,IDFCFIRSTB,INFY,JINDALSTEL,JPASSOCIAT,KOTAKBANK,LT,M& M,MARUTI,NTPC,ONGC,PNB,POWERGRID,RANBAXY,RCOM,RELCAPITAL,RELINFRA,RPOWER,SAIL,SESA,SIEMENS,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,VEDL,WIPRO"
2011-10-10,Nifty50,COALINDIA,RELCAPITAL,"AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,AXISBANK,BAJAJ-AUTO,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CAIRN,CIPLA,COALINDIA,DLF,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,IDFCFIRSTB,INFY,JINDALSTEL,JPASSOCIAT,KOTAKBANK,LT,M& M,MARUTI,NTPC,ONGC,PNB,POWERGRID,RANBAXY,RCOM,RELINFRA,RPOWER,SAIL,SESA,SIEMENS,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,VEDL,WIPRO"
2012-04-27,Nifty50,"ASIANPAINT,BANKBARODA","RCOM,RPOWER","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CAIRN,CIPLA,COALINDIA,DLF,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,IDFCFIRSTB,INFY,JINDALSTEL,JPASSOCIAT,KOTAKBANK,LT,M& M,MARUTI,NTPC,ONGC,PNB,POWERGRID,RANBAXY,RELINFRA,SAIL,SESA,SIEMENS,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,VEDL,WIPRO"
2012-09-28,Nifty50,"ULTRACEMCO,LUPIN","STERLITE,SAIL","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CIPLA,COALINDIA,DLF,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,IDFCFIRSTB,INFY,JINDALSTEL,JPASSOCIAT,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NTPC,ONGC,PNB,POWERGRID,RANBAXY,RELINFRA,SESA,SIEMENS,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,ULTRACEMCO,VEDL,WIPRO"
2013-04-01,Nifty50,"INDUSINDBK,NMDC","SIEMENS,WIPRO","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CIPLA,COALINDIA,DLF,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,IDFCFIRSTB,INDUSINDBK,INFY,JINDALSTEL,JPASSOCIAT,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NMDC,NTPC,ONGC,PNB,POWERGRID,RANBAXY,RELINFRA,SESA,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,ULTRACEMCO,VEDL"
2013-09-27,Nifty50,WIPRO,RELINFRA,"AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CIPLA,COALINDIA,DLF,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,IDFCFIRSTB,INDUSINDBK,INFY,JINDALSTEL,JPASSOCIAT,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NMDC,NTPC,ONGC,PNB,POWERGRID,RANBAXY,SESA,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,ULTRACEMCO,VEDL,WIPRO"
2014-03-28,Nifty50,"TECHM,UNITDSPR","JPASSOCIAT,RANBAXY","AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CIPLA,COALINDIA,DLF,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,IDFCFIRSTB,INDUSINDBK,INFY,JINDALSTEL,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NMDC,NTPC,ONGC,PNB,POWERGRID,SESA,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,TECHM,ULTRACEMCO,UNITDSPR,VEDL,WIPRO"
2014-09-19,Nifty50,ZEEL,UNITDSPR,"AARTIIND,ABBOTINDIA,ABREL,ACC,ACCELYA,AKZOINDIA,AMBUJACEM,ASAHIINDIA,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BANKBARODA,BHARTI,BHARTIARTL,BHEL,BPCL,BSOFT,CIPLA,COALINDIA,DLF,DRREDDY,GAIL,GRASIM,HCLTECH,HEROMOTOCO,IDFC,IDFCFIRSTB,INDUSINDBK,INFY,JINDALSTEL,KOTAKBANK,LT,LUPIN,M& M,MARUTI,NMDC,NTPC,ONGC,PNB,POWERGRID,SESA,SKBEECHAM,SUNPHARMA,TATAPOWER,TCS,TECHM,ULTRACEMCO,VEDL,WIPRO,ZEEL"
