effective_date,index_type,inclusions,exclusions,symbols
2005-02-21,Nifty100,STERLITE,JSWSTEEL,"722HPCL29,AARTIIND,ABB,ABREL,ACC,ACCELYA,AMBUJACEM,APARINDS,APOLLOTYRE,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AVENTIS,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BI,BSOFT,CANBK,CHENNPETRO,CMC,COLPAL,CUMMINSIND,DABUR,DHANBANK,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IBP,ICICI,IDBI,IDFCFIRSTB,IFCI,IGPL,INDHOTEL,INGERRAND,IOB,IPCL,J&KBANK,JPASSOCIAT,KRL,LICHSGFIN,LT,LUPIN,MARUTI,MOSERBAER,MTNL,NATIONALUM,NIFTY,NIRMA,OBC,OFSS,ONGC,PATNI,PEL,PFIZER,PNB,POLARIS,PUNJTRACT,RANBAXY,RAYMOND,RELINFRA,SAIL,SALSTEEL,SATYAM,SCILAL,SIS,STERLITE,TATACHEM,TATACOMM,TATACONSUM,TATAPOWER,TTML,TVSMNCRPS,UNIONBANK,VEDL,VIJAYA,WIPRO,WOCKPHARMA,ZEEL,ZYDUSLIFE"
2005-02-25,Nifty100,TCS,INDHOTEL,"722HPCL29,AARTIIND,ABB,ABREL,ACC,ACCELYA,AMBUJACEM,APARINDS,APOLLOTYRE,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AVENTIS,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BI,BSOFT,CANBK,CHENNPETRO,CMC,COLPAL,CUMMINSIND,DABUR,DHANBANK,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IBP,ICICI,IDBI,IDFCFIRSTB,IFCI,IGPL,INGERRAND,IOB,IPCL,J&KBANK,JPASSOCIAT,KRL,LICHSGFIN,LT,LUPIN,MARUTI,MOSERBAER,MTNL,NATIONALUM,NIFTY,NIRMA,OBC,OFSS,ONGC,PATNI,PEL,PFIZER,PNB,POLARIS,PUNJTRACT,RANBAXY,RAYMOND,RELINFRA,SAIL,SALSTEEL,SATYAM,SCILAL,SIS,STERLITE,TATACHEM,TATACOMM,TATACONSUM,TATAPOWER,TCS,TTML,TVSMNCRPS,UNIONBANK,VEDL,VIJAYA,WIPRO,WOCKPHARMA,ZEEL,ZYDUSLIFE"
2005-09-26,Nifty100,JETAIRWAYS,COLPAL,"722HPCL29,AARTIIND,ABB,ABREL,ACC,ACCELYA,AMBUJACEM,APARINDS,APOLLOTYRE,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AVENTIS,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BI,BSOFT,CANBK,CHENNPETRO,CMC,CUMMINSIND,DABUR,DHANBANK,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IBP,ICICI,IDBI,IDFCFIRSTB,IFCI,IGPL,INGERRAND,IOB,IPCL,J&KBANK,JETAIRWAYS,JPASSOCIAT,KRL,LICHSGFIN,LT,LUPIN,MARUTI,MOSERBAER,MTNL,NATIONALUM,NIFTY,NIRMA,OBC,OFSS,ONGC,PATNI,PEL,PFIZER,PNB,POLARIS,PUNJTRACT,RANBAXY,RAYMOND,RELINFRA,SAIL,SALSTEEL,SATYAM,SCILAL,SIS,STERLITE,TATACHEM,TATACOMM,TATACONSUM,TATAPOWER,TCS,TTML,TVSMNCRPS,UNIONBANK,VEDL,VIJAYA,WIPRO,WOCKPHARMA,ZEEL,ZYDUSLIFE"
2006-02-03,Nifty100,CONCOR,FSS,"722HPCL29,AARTIIND,ABB,ABREL,ACC,ACCELYA,AMBUJACEM,APARINDS,APOLLOTYRE,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BI,BSOFT,CANBK,CHENNPETRO,CMC,CONCOR,CUMMINSIND,DABUR,DHANBANK,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IBP,ICICI,IDBI,IDFCFIRSTB,IFCI,IGPL,INGERRAND,IOB,IPCL,J&KBANK,JETAIRWAYS,JPASSOCIAT,KRL,LICHSGFIN,LT,LUPIN,MARUTI,MOSERBAER,MTNL,NATIONALUM,NIFTY,NIRMA,OBC,OFSS,ONGC,PATNI,PEL,PFIZER,PNB,POLARIS,PUNJTRACT,RANBAXY,RAYMOND,RELINFRA,SAIL,SALSTEEL,SATYAM,SCILAL,SIS,STERLITE,TATACHEM,TATACOMM,TATACONSUM,TATAPOWER,TCS,TTML,TVSMNCRPS,UNIONBANK,VEDL,VIJAYA,WIPRO,WOCKPHARMA,ZEEL,ZYDUSLIFE"
2006-03-02,Nifty100,RELCAPITAL,CMC,"722HPCL29,AARTIIND,ABB,ABREL,ACC,ACCELYA,AMBUJACEM,APARINDS,APOLLOTYRE,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BI,BSOFT,CANBK,CHENNPETRO,CONCOR,CUMMINSIND,DABUR,DHANBANK,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IBP,ICICI,IDBI,IDFCFIRSTB,IFCI,IGPL,INGERRAND,IOB,IPCL,J&KBANK,JETAIRWAYS,JPASSOCIAT,KRL,LICHSGFIN,LT,LUPIN,MARUTI,MOSERBAER,MTNL,NATIONALUM,NIFTY,NIRMA,OBC,OFSS,ONGC,PATNI,PEL,PFIZER,PNB,POLARIS,PUNJTRACT,RANBAXY,RAYMOND,RELCAPITAL,RELINFRA,SAIL,SALSTEEL,SATYAM,SCILAL,SIS,STERLITE,TATACHEM,TATACOMM,TATACONSUM,TATAPOWER,TCS,TTML,TVSMNCRPS,UNIONBANK,VEDL,VIJAYA,WIPRO,WOCKPHARMA,ZEEL,ZYDUSLIFE"
2006-06-27,Nifty100,"SUZLON,IDFC","SCILAL,TATACHEM","722HPCL29,AARTIIND,ABB,ABREL,ACC,ACCELYA,AMBUJACEM,APARINDS,APOLLOTYRE,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BI,BSOFT,CANBK,CHENNPETRO,CONCOR,CUMMINSIND,DABUR,DHANBANK,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IBP,ICICI,IDBI,IDFC,IDFCFIRSTB,IFCI,IGPL,INGERRAND,IOB,IPCL,J&KBANK,JETAIRWAYS,JPASSOCIAT,KRL,LICHSGFIN,LT,LUPIN,MARUTI,MOSERBAER,MTNL,NATIONALUM,NIFTY,NIRMA,OBC,OFSS,ONGC,PATNI,PEL,PFIZER,PNB,POLARIS,PUNJTRACT,RANBAXY,RAYMOND,RELCAPITAL,RELINFRA,SAIL,SALSTEEL,SATYAM,SIS,STERLITE,SUZLON,TATACOMM,TATACONSUM,TATAPOWER,TCS,TTML,TVSMNCRPS,UNIONBANK,VEDL,VIJAYA,WIPRO,WOCKPHARMA,ZEEL,ZYDUSLIFE"
2006-09-01,Nifty100,RCOM,TATACONSUM,"722HPCL29,AARTIIND,ABB,ABREL,ACC,ACCELYA,AMBUJACEM,APARINDS,APOLLOTYRE,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BI,BSOFT,CANBK,CHENNPETRO,CONCOR,CUMMINSIND,DABUR,DHANBANK,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IBP,ICICI,IDBI,IDFC,IDFCFIRSTB,IFCI,IGPL,INGERRAND,IOB,IPCL,J&KBANK,JETAIRWAYS,JPASSOCIAT,KRL,LICHSGFIN,LT,LUPIN,MARUTI,MOSERBAER,MTNL,NATIONALUM,NIFTY,NIRMA,OBC,OFSS,ONGC,PATNI,PEL,PFIZER,PNB,POLARIS,PUNJTRACT,RANBAXY,RAYMOND,RCOM,RELCAPITAL,RELINFRA,SAIL,SALSTEEL,SATYAM,SIS,STERLITE,SUZLON,TATACOMM,TATAPOWER,TCS,TTML,TVSMNCRPS,UNIONBANK,VEDL,VIJAYA,WIPRO,WOCKPHARMA,ZEEL,ZYDUSLIFE"
2006-09-22,Nifty100,IGPL,KRL,"722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,AMBUJACEM,APARINDS,APOLLOTYRE,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BI,BSOFT,CANBK,CHENNPETRO,CONCOR,CUMMINSIND,DABUR,DHANBANK,DRREDDY,GAIL,GESHIP,GLAXO,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IBP,ICICI,IDBI,IDFC,IDFCFIRSTB,IFCI,IGPL,INGERRAND,IOB,IPCL,J&KBANK,JETAIRWAYS,JPASSOCIAT,LICHSGFIN,LT,LUPIN,MARUTI,MOSERBAER,MTNL,NATIONALUM,NIFTY,NIRMA,OBC,OFSS,ONGC,PATNI,PEL,PFIZER,PNB,POLARIS,PUNJTRACT,RANBAXY,RAYMOND,RCOM,RELCAPITAL,RELINFRA,SAIL,SALSTEEL,SATYAM,SIS,STERLITE,SUZLON,TATACOMM,TATAPOWER,TCS,TTML,TVSMNCRPS,UNIONBANK,VEDL,VIJAYA,WIPRO,WOCKPHARMA,ZEEL,ZYDUSLIFE"
2006-11-08,Nifty100,INDHOTEL,GESHIP,"722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,AMBUJACEM,APARINDS,APOLLOTYRE,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BI,BSOFT,CANBK,CHENNPETRO,CONCOR,CUMMINSIND,DABUR,DHANBANK,DRREDDY,GAIL,GLAXO,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IBP,ICICI,IDBI,IDFC,IDFCFIRSTB,IFCI,IGPL,INDHOTEL,INGERRAND,IOB,IPCL,J&KBANK,JETAIRWAYS,JPASSOCIAT,LICHSGFIN,LT,LUPIN,MARUTI,MOSERBAER,MTNL,NATIONALUM,NIFTY,NIRMA,OBC,OFSS,ONGC,PATNI,PEL,PFIZER,PNB,POLARIS,PUNJTRACT,RANBAXY,RAYMOND,RCOM,RELCAPITAL,RELINFRA,SAIL,SALSTEEL,SATYAM,SIS,STERLITE,SUZLON,TATACOMM,TATAPOWER,TCS,TTML,TVSMNCRPS,UNIONBANK,VEDL,VIJAYA,WIPRO,WOCKPHARMA,ZEEL,ZYDUSLIFE"
2007-04-04,Nifty100,"ULTRACEMCO,TECHM","OBC,JETAIRWAYS","722HPCL29,AARTIIND,ABB,ABBOTINDIA,ABREL,ACC,ACCELYA,AMBUJACEM,APARINDS,APOLLOTYRE,ARVIND,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ATUL,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BALMLAWRIE,BALRAMCHIN,BANKBARODA,BANKINDIA,BASF,BEL,BHARATFORG,BHARTI,BHARTIARTL,BHEL,BI,BSOFT,CANBK,CHENNPETRO,CONCOR,CUMMINSIND,DABUR,DHANBANK,DRREDDY,GAIL,GLAXO,GRASIM,GUJGASLTD,HCLTECH,HDFCBANK,HEROMOTOCO,HINDPETRO,IBP,ICICI,IDBI,IDFC,IDFCFIRSTB,IFCI,IGPL,INDHOTEL,INGERRAND,IOB,IPCL,J&KBANK,JPASSOCIAT,LICHSGFIN,LT,LUPIN,MARUTI,MOSERBAER,MTNL,NATIONALUM,NIFTY,NIRMA,OFSS,ONGC,PATNI,PEL,PFIZER,PNB,POLARIS,PUNJTRACT,RANBAXY,RAYMOND,RCOM,RELCAPITAL,RELINFRA,SAIL,SALSTEEL,SATYAM,SIS,STERLITE,SUZLON,TATACOMM,TATAPOWER,TCS,TECHM,TTML,TVSMNCRPS,ULTRACEMCO,UNIONBANK,VEDL,VIJAYA,WIPRO,WOCKPHARMA,ZEEL,ZYDUSLIFE"
