run_date,script,Variant,Description,CAGR,BM CAGR,Alpha,Sharpe,Calmar,Max DD,Pct_Positive_Periods,Avg Turnover,NAV end (M),Periods,Ulcer_Index,Martin_Ratio,Total_Positions,Winners,Losers,Win_Rate_Pct,Avg_Pos_Return_Pct,Avg_Neg_Return_Pct,Expectancy_Ratio,Profit_Factor,K_Ratio,Avg_Hold_Days,Max_Hold_Days,Max_Hold_Symbol
21/08/2026,simulation_fri_signal_mon_open_backtest_mr_hybrid.py,MR_W,Weinstein gate | B38 | Weekly,0.3198224110651495,0.1249109486760164,0.194911462389133,0.929176435530014,0.7547240729188859,-0.4237607127439838,0.61328125,0.3220719291416324,182.42405109687007,512,15.084,1.81,6046.0,3068.0,2978.0,50.74,8.028,5.288,0.0147,1.341,209.367,15.6,532.0,ADANIGREEN.NS
21/08/2026,simulation_fri_signal_mon_open_backtest_mr_12way.py,MR_W_B50,Weinstein | B50 | Weekly,0.3198224110651488,0.1249109486760164,0.1949114623891323,0.9291764355300132,0.7547240729188848,-0.4237607127439836,0.61328125,0.3220719291416324,182.42405109686945,512,15.084,1.81,6046.0,3068.0,2978.0,50.74,8.028,5.288,0.0147,1.341,209.367,15.6,532.0,ADANIGREEN.NS
20/08/2026,simulation_fri_signal_mon_open_backtest_mr_variants.py,MR_W,Weinstein only,0.3430081567585989,0.133251097730052,0.2097570590285469,0.9734695481913452,0.8094383137538009,-0.4237607127439837,0.61328125,0.3220719291416324,182.42405109686945,512,15.084,1.81,6046.0,3068.0,2978.0,50.74,8.028,5.288,0.0147,1.341,209.367,15.6,532.0,ADANIGREEN.NS
21/08/2026,simulation_fri_signal_mon_open_backtest_mr_12way.py,MR_LO_B50,Lottery excl | B50 | Weekly,0.306722714716775,0.1249109486760164,0.1818117660407585,0.9560484325325772,0.9325573554994536,-0.3289049332011351,0.603515625,0.3214889800033843,164.3429791875301,512,10.892,2.376,6060.0,3171.0,2889.0,52.33,7.01,4.773,0.0139,1.417,263.484,15.7,469.0,ADANIGREEN.NS
21/08/2026,simulation_fri_signal_mon_open_backtest_mr_hybrid.py,MR_LO,Lottery excl | B38 | Weekly,0.3064058265467309,0.1249109486760164,0.1814948778707144,0.9550319001805596,0.931593891172666,-0.3289049332011347,0.603515625,0.3215202190697111,163.9264208018528,512,10.893,2.373,6061.0,3171.0,2890.0,52.32,7.009,4.772,0.0139,1.417,263.2,15.7,469.0,ADANIGREEN.NS
20/08/2026,simulation_fri_signal_mon_open_backtest_mr_targeted.py,MR_LO,Lottery excluded only,0.3285037500154981,0.133251097730052,0.195252652285446,1.0017062720258294,0.9987802457636246,-0.328904933201135,0.603515625,0.3215202190697111,163.92642080185192,512,10.893,2.373,6061.0,3171.0,2890.0,52.32,7.009,4.772,0.0139,1.417,263.2,15.7,469.0,ADANIGREEN.NS
20/08/2026,simulation_fri_signal_mon_open_backtest_mr_variants.py,MR_LA,Lottery excluded + alpha > 0,0.3265345203793532,0.133251097730052,0.1932834226493012,1.0021856376834664,1.0433699104329544,-0.3129614119731086,0.609375,0.3204291243515321,161.54956135809988,512,10.273,2.497,6037.0,3162.0,2875.0,52.38,6.956,4.749,0.0138,1.443,286.341,15.7,469.0,ADANIGREEN.NS
21/08/2026,simulation_fri_signal_mon_open_backtest_mr_hybrid.py,MR_LO_M,Lottery excl | B38 | Monthly,0.3004236226373822,0.1346394066503788,0.1657842159870033,0.904168995721498,1.0082311071547865,-0.2979709914775129,0.696,0.329315968845828,153.89768022210413,125,8.45,24.237,1502.0,829.0,673.0,55.19,17.739,9.529,0.0552,1.843,136.76,62.8,553.0,BATAINDIA.NS
21/08/2026,simulation_fri_signal_mon_open_backtest_mr_12way.py,MR_LO_M_B50,Lottery excl | B50 | Monthly,0.299905963229705,0.1346394066503788,0.1652665565793261,0.9020666975794877,1.006493881281696,-0.2979709750920659,0.696,0.3287514945971432,153.26134491064195,125,8.468,24.123,1498.0,827.0,671.0,55.21,17.855,9.561,0.0557,1.843,135.261,63.0,553.0,BATAINDIA.NS
20/08/2026,simulation_fri_signal_mon_open_backtest_mr_variants.py,MR_G6,Full G6 (weinstein+lottery+alpha),0.2405334934994223,0.133251097730052,0.1072823957693702,0.7472031111744618,0.630157690176818,-0.3817036548930003,0.587890625,0.3212510490150884,83.49945429224319,512,14.954,1.14,5832.0,2987.0,2845.0,51.22,6.791,4.886,0.0109,1.345,189.59,15.7,343.0,CGPOWER.NS
